Unnamed: 0,Производитель,Модель,Размер колес,Подвеска,Рама,Вилка,Трансмиссия,Тормозная система,Шатуны,Цена,Плюсы,Минусы,Порекомендуете ли вы данный продукт?,Ссылка на фото
1,Cannondale,Trail 7,26,Хард тейл,Double Butted 6061 Aluminum),SR Suntour XCT Coil Spring (100mm),"Shimano TX50, Shimano Altus, TX50","Tektro Novella (160,160)",SRAM S600,49500,"Cannondale Trail 7 предлагает отличное соотношение цена/качество, что делает его доступным выбором для новичков","Несмотря на хорошую базовую комплектацию, некоторые компоненты могут быть ниже по качеству и ограничивают возможности для будущих улучшений","Cannondale Trail 7 - это отличный велосипед для тех, кто только начинает свой путь в мире горных велосипедов. Он предлагает хорошую цену и надежную конструкцию, что делает его идеальным для первых поездок по лесным тропам и паркам",1_Cannondale_TRAIL_7.jpg
2,Giant,Talon 5,28,Хард тейл,6061 ALUXX-grade aluminum,"SR Suntour XCT MLO, w/lockout (100mm)","Shimano Altus (Front), SRAM X5 (Rear), SRAM X4 (Shifters)",Tektro Novela mechanical disc (160),SR Suntour,51300,Самый дешевый велосипед с колесами 27.5 на рынке,Вилка,"Если вы ищете начальный велосипед 27.5, то этот вариант подойдет",2_Giant_talon_5.jpg
3,Jamis,Exile Sport,29,Хард тейл,Kinesis 7005 Double Butted Aluminum,RST Blaze 29 TNL (100mm),"Shimano M361, Shimano HG40, Acera, Alivio","Hayes MX-5 mechanical disc (180, 160)",SR Suntour XCT,51750,"Удивительный начальный велосипед, прочная рама",Механические тормоза и передняя вилка,"Как отличный начальный велосипед и за правильную цену он будет замечательным. Рама достаточно хороша, чтобы создать на ее основе более качественный велосипед",3_Jamis_Exile_Sport.jpg
4,Felt,Nine 80,29,Хард тейл,6061 Aluminum,"Suntour XCT, 100mm travel","Altus, SRAM X4, SRAM X4 (3x8)",Tektro MTB (180),Suntour XCT,53910,"Рама из алюминия 6061 обеспечивает хорошую жесткость и долговечность, что делает Felt Nine 80 надежным выбором для катания по разным маршрутам","Как и многие другие велосипеды в своем классе, Felt Nine 80 может быть немного тяжелым, что может сказаться на маневренности, особенно при подъеме","Если вы планируете использовать велосипед для прогулок по лесным тропам или легких трасс, Felt Nine 80 отлично справится с этой задачей",4_Felt_Nine_80.jpg
5,Airborne,Guardian 2.0,29,Хард тейл,6061 Aluminum Hardtail,RockShoc XC28 TK Mg29 (100mm),"SRAM X5, X5, X5",Tektro Auriga Comp,SRAM X5,54000,"Цена, хорошие детали. Отличное обслуживание клиентов",Тяжелый,"Если вы не можете потратить больше, то это достойный выбор",5_Airborne_Guardian_2.0.jpg
6,Airborne,Guardian 2.0,29,Хард тейл,6061 Aluminum,RockShox XC28 TK Mg29 (100mm),"SRAM X5, X5, X5",Tektro Auriga Comp Hydraulic Disc (160),Truvative E400,54000,"Цена, хорошие детали. Отличное обслуживание клиентов",Тяжелый,"Если вы не можете потратить больше, то это достойный выбор",6_Airborne_Guardian_2.0.jpg
7,Trek,Wahoo,26,Хард тейл,Alpha Gold Aluminum (6061 based alloy),SR Suntour XCT V4 (100mm),"Shimano Altus 8 speed, Shimano Acera",Tektro Novela mechanical disc brakes,Truvative E400,55800,Отличный начальный велосипед. Общая функциональность на высоте,"Механические тормоза, несколько неудобное сиденье","Это мой первый горный велосипед, и я его обожаю. Я ездил на нем много раз и не имел никаких проблем",7_Trek_Wahoo.jpg
8,Carrera,Kraken,26,Хард тейл,7005 T6 Aluminium,SR Suntour XCD (120mm),SRAM X5 3x9,Clarks SX hydraulic,SRAM X5,56700,"Цена, легкая рама делает его очень пригодным для модификаций","Можно улучшить, но за свою цену очень хорош. Европейское производство означает высокую стоимость","Мы не тестировали лучшего трейлового велосипеда за менее чем £500. Он великолепен во многих отношениях"". Мне он нравится, и я определенно рекомендую",8_Carrera_Kraken.png
9,Diamondback,Overdrive,29,Хард тейл,6061 Aluminum,SR Suntour XCT (100mm),"Shimano TX50, SRAM X4, SRAM X4 (3x8)",Tektro Novela Disc,SR Suntour XCT,58500,Вилка SR Suntour XCT с ходом 100 мм помогает смягчить удары и улучшает управляемость на неровных участках,"Механические дисковые тормоза могут быть менее эффективными, чем гидравлические, что может сказаться на тормозной мощности в сложных условиях","Diamondback Overdrive - это хороший велосипед для новичков и любителей, которые хотят начать свое приключение в мире горных велосипедов. Он предлагает хорошее соотношение цена/качество, что делает его доступным вариантом для первых поездок",9_Diamondback_Overdrive.jpg
10,Giant,Revel 0,29,Хард тейл,ALUXX- Grade Aluminum,SR Suntour XCM V3 (80mm),"SRAM X5, X5 (3x9)",Avid BB5 Mechanical disc (160),SRAM S600,62100,"Отличная трансмиссия, жесткая рама, хорошая цена",Тормоза и вилка (конечно),"Да, такая же цена, как у Hardrock sport disk, но полная трансмиссия X5 стоит того, чтобы пожертвовать улучшенными тормозами на Hardrock",10_Giant_Revel.jpg
11,Felt,Nine 70,29,Хард тейл,6061 Aluminum,"Suntour XCM HLO, 100mm travel","Acera,Alivio, Acera (3x9)","Tektro Novella mechanical disc, 180mm",Suntour XCM,62910,"Большие колеса обеспечивают отличное преодоление неровностей и большую устойчивость на трассе, что особенно полезно при катании по сложным участкам","Как и многие другие велосипеды в своем классе, Felt Nine 70 может быть немного тяжелым, что может повлиять на маневренность, особенно при подъемах","Велосипед оснащен надежными компонентами, которые обеспечивают комфортное катание. Подвеска и трансмиссия позволяют легко справляться с различными условиями",11_Felt_Nine_70.jpg
12,Specialized,HardRock Sport 29 Disc,29,Хард тейл,Aluminum,"SR Suntour SF13-XCT-MLO 29"" (80mm)","Altus, Acera, Altus (3x8)","Tektro HD-M330, hydraulic (160,160)",SR Suntour XCT,63000,"Рама из алюминия обеспечивает отличную жесткость и долговечность, что делает Specialized HardRock Sport 29 Disc надежным выбором для различных типов катания","Ход вилки в 80 мм может быть недостаточным для более агрессивного катания по сложным маршрутам, что может ограничить комфорт на неровностях","Specialized HardRock Sport 29 Disc - это отличный велосипед для новичков и любителей, которые хотят начать свое приключение в мире горных велосипедов. Он предлагает хорошее соотношение цена/качество, что делает его доступным вариантом для первых поездок",12_Specialized_Hardrock_Sport.jpg
13,Specialized,Hardrock Sport 29 Disc,29,Хард тейл,6061 Aluminium,SR Suntour XCT (80mm),"Altus, Acera, Altus (3x8)",Tektro HDC hydraulic (160mm),SR Suntour XCT,63000,Трансмиссия с компонентами Altus и Acera (3x8) обеспечивает плавное переключение передач и широкий диапазон для различных условий,"Как и многие другие велосипеды в своем классе, Specialized HardRock Sport 29 Disc может быть немного тяжелым, что может повлиять на маневренность, особенно при подъемах","Если вы планируете использовать велосипед для прогулок по лесным тропам или легких трасс, Specialized HardRock Sport 29 Disc отлично справится с этой задачей",13_Specialized_Hardrock_Sport.jpg
14,Cannondale,Aim 26 Disk,26,Хард тейл,6061 Aluminium,SR Suntour XCM (100mm),Shimano Altus 3x8,Shimano hydraulic,Shimano,67500,"Полная трансмиссия и тормоза Shimano, отличные колеса и втулки Shimano",Вилка довольно тугая и плохо контролирует отскок,"Aim хорош по цене и интересен, но вилка имеет обычные проблемы для велосипеда в этой ценовой категории",14_Cannondale_Aim.jpg
15,Cannondale,Trail 5,29,Хард тейл,6061 Aluminum,"SR Suntour XCM-HLO (100mm), spring w/lockout","Altus, Acera, Altus (3x8)","Shiman BR-M375 Mechanical (160,160)",Shimano,70200,"Вилка SR Suntour XCM-HLO с ходом 100 мм и функцией блокировки помогает смягчить удары и улучшает комфорт во время катания, позволяя также блокировать вилку на ровных участках для повышения эффективности","Стандартное сиденье может не подойти для длительных поездок, и его, возможно, потребуется заменить на более комфортное","Если вы планируете кататься более активно, возможно, вам понадобятся улучшения, такие как замена тормозов или сиденья, для повышения производительности",15_Canondalle_Trail_5.jpeg
16,Specialized,Rockhopper,29,Хард тейл,6061 Aluminum,SR Suntour SF13-XCM-LO (100mm),"Acera, Alivio, Acera (3x9)","Tektro HDC 300 (180, 160mm) Hydraulic",SR Suntour XCR,75600,"Отличный начальный велосипед, рама, которую можно модернизировать, и прочная конструкция",Переднюю вилку можно улучшить. Сиденье довольно жесткое,"Попробуйте купить его, когда он на распродаже",16_Specialized_Rockhopper.jpg
17,Specialized,Rockhopper 29,29,Хард тейл,Aluminum,"SR Suntour XCM-LO 29"", hydraulic","Acera,Alivio, Acera 9-speed","Tektro HD-M330, hydraulic (180,180)",SR Suntour XCR,79200,"Specialized Rockhopper 29 — это надежный хардтейл, созданный для тех, кто хочет исследовать горные тропы и наслаждаться активным отдыхом на свежем воздухе. С легкой рамой из алюминия и большими 29-дюймовыми колесами, этот велосипед обеспечивает отличную управляемость и комфорт на различных типах местности","Хотя компоненты Acera и Alivio хорошо справляются с задачами, они могут быть менее качественными по сравнению с более высокими моделями, что ограничивает возможности для будущих улучшений","Хорошая базовая комплектация: Велосипед оснащен надежными компонентами, которые обеспечивают комфортное катание. Подвеска и трансмиссия позволяют легко справляться с различными условиями",17_Specialized_Rockhopper.jpg
18,Airborne,Seeker,29,Хард тейл,6061 Aluminum,Rockshox Recon TK GOLD (Air) 100mm,SRAM X5 2x10,Avid Elixir 1 hydraulic (160),X5 2x10 crank,83700,"Система SRAM X5 с двумя передними и десятью задними скоростями (2x10) обеспечивает широкий диапазон передач и плавное переключение, что позволяет легко справляться с различными ландшафтами","Airborne Seeker может быть несколько дороже, чем некоторые другие хардтейлы начального уровня, что может ограничить его доступность для некоторых покупателей","Airborne Seeker предназначен для тех, кто ищет качественный хардтейл с современными компонентами, способный справляться с различными условиями катания. Он идеально подходит для тех, кто уже имеет опыт в горном велосипеде и хочет улучшить свои навыки",18_Airborne_Seeker.jpg
19,Giant,Yukon FX,26,Полная подвеска,ALUXX-Grade Aluminum,"SR Suntour XCM V3 w/ Lockout, 100mm Travel, Giant aAir rear shock","SRAM X4, 3x8 Speed,","Tektro Novela, 160mm",SR Suntour XCT-V2,99000,Один из немногих начальных ($1000) велосипедов с полной подвеской на рынке. Велосипед с полной подвеской за цену хардтейла. Компоненты легко поддаются модернизации,"Амортизаторы недостаточны, но могут быть заменены. Компоненты низкого качества","Для кого-то с ограниченным бюджетом, ищущего велосипед с полной подвеской, не разоряясь, этот велосипед может подойти",19_Giant_Yukon_FX.jpg
